Date,Open,High,Low,Close,Volume
2012-01-03,58.49,58.93,58.43,58.75,75564699
2012-01-04,58.57,59.24,58.47,59.06,65061108
2012-01-05,59.28,59.79,58.95,59.72,67816805
2012-01-06,59.97,60.39,59.89,60.34,79596412
2012-01-09,60.79,61.11,60.19,60.25,98505792
2012-01-10,60.84,60.86,60.21,60.46,64581762
2012-01-11,60.38,60.41,59.9,60.36,53798059
2012-01-12,60.33,60.41,59.82,60.2,53180911
2012-01-13,59.96,60.06,59.81,59.97,56539749
2012-01-17,60.6,60.86,60.42,60.67,60724055
2012-01-18,60.99,61.35,60.9,61.3,69197758
2012-01-19,61.45,61.62,60.93,61.11,65434453
2012-01-20,61.07,61.07,59.96,60.04,103492249
2012-01-23,60.38,61.21,60.33,61.06,76515446
2012-01-24,60.73,60.73,59.94,60.06,136909311
2012-01-25,64.92,64.92,63.39,63.81,239565837
2012-01-26,64.05,64.11,63.31,63.52,81057711
2012-01-27,63.48,64.07,63.4,63.9,74971631
2012-01-30,63.67,64.84,63.63,64.72,94832073
2012-01-31,65.08,65.46,64.72,65.21,97977985
2012-02-01,65.49,65.57,65.08,65.17,67510562
2012-02-02,65.13,65.31,64.85,65.02,46698547
2012-02-03,65.33,65.71,65.08,65.67,71717009
2012-02-06,65.48,66.43,65.46,66.28,62420596
2012-02-07,66.46,67.11,66.37,66.98,79055263
2012-02-08,67.21,68.11,67.1,68.1,101969280
2012-02-09,68.68,70.96,68.65,70.45,221053602
2012-02-10,70.14,71.09,69.79,70.49,157824975
2012-02-13,71.36,71.98,71.01,71.8,129301606
2012-02-14,72.09,72.79,71.71,72.78,115483011
2012-02-15,73.47,75.18,70.98,71.1,376528040
2012-02-16,70.21,72.13,69.52,71.74,236137405
2012-02-17,71.87,72.54,71.47,71.73,133947191
2012-02-21,72.41,73.55,72.02,73.55,151396399
2012-02-22,73.3,73.64,72.72,73.29,120823808
2012-02-23,73.58,73.98,72.79,73.77,142006312
2012-02-24,74.24,74.7,74.09,74.63,103819905
2012-02-27,74.47,75.5,73.75,75.11,136895304
2012-02-28,75.42,76.49,75.12,76.49,150096478
2012-02-29,77.37,78.23,76.53,77.49,238000378
2012-03-01,78.31,78.32,76.97,77.78,170813188
2012-03-02,77.75,78.11,77.5,77.88,107927589
2012-03-05,77.92,78.21,75.14,76.17,202280183
2012-03-06,74.81,76.24,73.75,75.75,202559651
2012-03-07,76.69,76.83,74.76,75.81,199629549
2012-03-08,76.38,77.57,76.02,77.43,129110723
2012-03-09,77.74,78.25,77.59,77.88,104724732
2012-03-12,78.43,78.86,78.14,78.86,101820019
2012-03-13,79.65,81.17,79.39,81.16,172712659
2012-03-14,82.58,84.96,82.2,84.23,354709747
2012-03-15,85.66,85.72,82.65,83.65,289917768
2012-03-16,83.53,84.17,82.57,83.65,206371879
2012-03-19,85.48,85.97,84.15,85.87,225308790
2012-03-20,85.64,86.7,83.14,86.57,204167033
2012-03-21,86.11,87.09,85.92,86.07,161010374
2012-03-22,85.4,86.36,85.08,85.62,156032898
2012-03-23,85.78,85.97,84.91,85.15,107621815
2012-03-26,85.68,86.74,85.04,86.71,148934219
2012-03-27,86.6,88.04,86.58,87.78,151782141
2012-03-28,88.34,88.78,87.19,88.23,163864869
2012-03-29,87.54,88.08,86.75,87.12,152059432
2012-03-30,86.97,87.22,85.42,85.65,182759395
2012-04-02,85.98,88.4,85.77,88.38,149586458
2012-04-03,89.61,90.32,88.93,89.9,208638360
2012-04-04,89.19,89.41,88.14,89.19,143245095
